pl_name,hostname,pl_letter,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_pubdate,disc_locale,disc_facility,disc_telescope,pl_orbper,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_ratdor,st_spectype,st_teff,st_rad,st_mass,st_lum,st_logg,st_age,st_dens,st_vsin,sy_gaiamag
KELT-20 b,KELT-20,b,1,1,0,Transit,2017,2017-11,Ground,KELT-North,Mamiya 645 80mm f/1.9,3.47410850,19.515,1074.90106,0.806000,0.000000,4362.50,2262,86.120,7.420000,A2 V,8720.00,1.56,1.76,1.104,4.29,0.600,0.64100,117.4000,7.5749200
KELT-21 b,KELT-21,b,1,1,0,Transit,2018,2018-02,Ground,KELT-North,Mamiya 645 80mm f/1.9,3.61276470,17.777,1242.71530,1.240000,0.000000,2950.00,2051,86.460,6.860000,A8 V,7598.00,1.64,1.46,0.905,4.17,1.600,0.46800,146.0300,10.5415000
KELT-23 A b,KELT-23 A,b,2,1,0,Transit,2019,2019-08,Ground,KELT-North,Mamiya 645 80mm f/1.9,2.25525100,14.830,298.12454,0.503000,0.000000,991.18,1561,85.370,7.130000,G2 V,5899.00,1.00,0.94,0.034,4.42,6.400,1.34900,2.4200,10.1820000
KELT-24 b,KELT-24,b,1,1,0,Transit,2019,2019-11,Ground,KELT-North,Mamiya 645 80mm f/1.9,5.55149260,14.258,1646.35940,3.130000,0.077000,750.90,1459,89.170,9.950000,F5,6509.00,1.51,1.46,0.565,4.25,0.780,0.60300,19.7600,8.2375200
KELT-3 b,KELT-3,b,2,1,0,Transit,2013,2013-08,Ground,KELT,Mamiya 645 80mm f/1.9,2.70339000,17.486,616.59020,0.750000,0.000000,,1816,84.140,6.000000,,6304.00,1.70,1.96,0.625,4.20,3.000,0.56000,10.2000,9.7632400
KELT-4 A b,KELT-4 A,b,3,1,0,Transit,2016,2016-02,Ground,KELT,Mamiya 645 80mm f/1.9,2.98959320,19.044,286.68266,0.228000,0.000000,,1823,83.160,5.792000,F,6206.00,1.60,1.20,0.535,4.11,4.440,0.41100,6.0000,9.9570200
KELT-6 b,KELT-6,b,1,2,0,Transit,2014,2014-02,Ground,KELT,Mamiya 645 80mm f/1.9,7.84570000,14.572,165.27160,0.311000,0.220000,,1313,88.810,10.830000,F8,6102.00,1.73,1.42,0.493,4.07,6.100,0.39000,4.5300,10.1934000
KELT-6 c,KELT-6,c,1,2,0,Radial Velocity,2015,2015-09,Ground,Multiple Observatories,Multiple Telescopes,1276.00000000,13.000,1179.14930,2.950000,0.210000,,,,,F8,6272.00,1.53,1.13,0.555,4.12,4.900,0.44000,4.5300,10.1934000
KELT-7 b,KELT-7,b,1,1,0,Transit,2015,2015-07,Ground,KELT,Mamiya 645 80mm f/1.9,2.73477000,17.934,441.78370,0.442000,0.000000,,2048,83.760,5.500000,F,6768.00,1.81,1.76,0.758,4.50,1.300,0.42000,69.3000,8.4517300
KELT-8 b,KELT-8,b,1,1,0,Transit,2015,2015-09,Ground,KELT,Mamiya 645 80mm f/1.9,3.24406000,18.159,209.76780,0.167000,0.040000,,1675,82.650,5.900000,G2 V,5754.00,1.46,0.81,0.265,4.08,5.400,0.37000,3.7000,10.6699000
