st_spectype,st_teff,st_rad,st_mass,st_lum,st_logg,st_age,st_dens,st_vsin,sy_gaiamag
G9 V,5311.0,0.92,0.87,-0.204,4.45,11.0,1.57,4.18,14.6473
G3 V,5738.0,1.24,0.97,0.173,4.24,9.5,0.72,6.17,13.6864
G V,5846.0,1.09,1.13,0.093,4.42,2.1,1.22,3.73,12.2179
G V,5600.0,1.02,1.04,-0.032,4.44,4.2,1.37,6.23,13.8786
K,5227.0,0.9,0.88,-0.268,4.48,9.7,1.43916,1.5,13.3419
K V,4803.0,0.69,0.76,-0.646,4.64,,3.28,0.5,13.1225
G V,5780.0,1.2,1.12,0.155,4.33,4.2,0.91,4.62,13.752
F V,6125.0,1.12,1.07,0.19,4.37,3.7,1.059,9.44,12.6911
G,5715.0,1.11,0.99,0.068,4.35,7.5,1.03,3.88,12.9353
F,6071.0,2.04,1.3,0.704,3.94,4.04,0.218,7.48,12.8431
F,6438.0,1.74,1.42,0.669,4.11,2.3,0.379,9.32,12.6792
G,5498.0,0.92,0.93,-0.157,4.48,6.2,1.67,2.6,13.7929
G,5670.0,1.07,1.03,0.029,4.39,5.5,1.17,2.35,12.4594
F,6351.0,1.4,1.21,0.456,4.22,3.2,0.62,9.12,11.8914
G,5943.0,1.06,1.09,0.097,4.42,2.3,1.29,4.11,12.0815
,6050.0,1.87,1.27,0.619,4.0,4.3,0.275,7.01,12.9613
,5700.0,1.1,1.1,0.057,4.4,3.5,1.17,3.56,14.2166
,5659.0,1.02,1.06,-0.018,4.45,3.0,1.4,3.87,11.7082
,5380.0,0.98,0.95,-0.14,4.43,7.7,1.44,4.07,13.679
,6300.0,1.43,1.32,0.465,4.24,2.13,0.628,8.66,12.4605
G0 V,5950.0,1.1,1.1,0.215,4.4,0.62,1.19,4.98,14.233
,5326.0,0.88,0.84,-0.256,4.48,11.46,0.86724,3.98,11.9978
,5732.0,1.1,0.89,0.072,4.3,11.89,1.02548,3.1,12.2781
,6572.0,1.62,1.38,0.64,4.16,2.06,0.457,7.75,12.6539
G,5403.0,0.93,1.0,-0.187,4.51,2.1,1.35215,0.7,13.2862
,6460.0,2.26,1.56,0.903,3.92,2.07,0.189,9.52,13.2842
,6424.0,1.71,1.5,0.653,4.14,1.34,0.42,19.21,12.5892
,6060.0,1.48,1.27,0.425,4.2,3.26,0.55,6.04,13.5627
,5099.0,0.81,0.84,-0.398,4.54,8.6,2.18,1.11,13.4014
,5080.0,0.85,0.86,-0.398,4.51,9.7,1.98,0.5,14.1595
,6450.0,1.31,1.27,0.425,4.3,1.52,0.79,9.9,13.2385
,5495.0,0.85,0.92,-0.23,4.54,3.0,2.1,0.9,13.527
,4512.0,0.66,0.67,-0.796,4.63,8.1,3.36,2.47,14.3998
,4546.0,0.72,0.73,-0.709,4.59,11.97,2.804,0.73,13.8951
,4405.0,0.7,0.71,-0.785,4.6,10.5,2.961,0.5,14.5449
G,5304.0,0.87,0.94,-0.268,4.53,3.6,1.8907,0.8,12.4288
,5990.0,1.12,1.17,0.143,4.41,1.2,1.19,3.76,13.8936
,5758.0,1.44,1.19,0.31,4.2,4.74,0.56,3.98,12.3293
,6010.0,1.05,1.11,0.068,4.45,1.2,1.37,4.59,13.6269
,5644.0,1.1,0.96,0.045,4.34,9.0,1.027,2.5,13.6564
,5702.0,1.32,1.1,0.212,4.24,6.6,0.678,3.83,13.7762
,6214.0,1.13,1.2,0.229,4.41,0.4,1.179,5.01,13.3498
,6536.0,2.2,1.57,0.898,3.95,1.894,0.2079,6.49,11.4877
,5587.0,0.96,1.03,-0.094,4.48,2.5,1.633,4.09,12.1816
,7175.0,1.43,1.46,0.689,4.29,0.31,0.702,6.22,11.7679
,5670.0,1.04,1.04,-0.004,4.42,4.3,1.31,2.8,13.7854
M1 V,3724.0,0.57,0.57,-1.1,4.68,8.1,4.36,,14.3601
,5688.0,1.46,1.1,0.3,4.15,7.55,0.496,3.84,12.5004
,5542.0,1.66,1.08,0.369,4.03,8.9,0.33,3.52,13.0682
,5416.0,0.93,0.9,-0.173,4.45,9.55,1.556,0.5,13.8321
,5627.0,1.07,0.93,0.012,4.35,10.3,1.071,1.77,13.7213
,6554.0,2.11,1.56,0.867,3.98,1.861,0.234,12.65,12.839
,6277.0,1.31,1.26,0.377,4.3,1.78,0.788,7.83,12.3793
,6626.0,1.84,1.41,0.767,4.06,2.17,0.318,12.86,14.0086
,6594.0,1.44,1.44,0.547,4.28,0.51,0.677,5.19,13.5596
